dataset,scenario,accuracy,acc_drop,psi,confidence_drop,health,risk,explanation,action,degradation_score,root_cause,top_drift_feature,severity,affected_component
Adult,noise,0.8508547446002661,0.0055276896304637,0.9825978531860778,0.0053542836120933,0.506,High,Significant drift and/or accuracy degradation detected.,Trigger incident workflow; retrain model and review data pipeline.,0.04190502110624209,No strong degradation signal; system appears stable.,capital-loss,High,monitoring
Adult,shift,0.8430750332685024,0.0133074009622274,0.2448571903582119,0.0592710222617236,0.871,Moderate,Moderate drift and/or degradation detected.,Monitor closely; validate recent data changes; consider scheduled retraining.,0.04190502110624209,No strong degradation signal; system appears stable.,hours-per-week,Moderate,monitoring
Adult,feature_removed,0.8472719828027434,0.0091104514279864,0.0,0.0076060793698736,0.995,Low,Model appears stable under current checks.,No action required; continue monitoring.,0.04190502110624209,No strong degradation signal; system appears stable.,age,Low,monitoring
Loan,noise,0.9151111111111112,0.0138888888888889,0.1947553218138065,0.0048311111111113,0.896,Moderate,Moderate drift and/or degradation detected.,Monitor closely; validate recent data changes; consider scheduled retraining.,0.0,System is sensitive to distribution changes (shift caused the highest drift).,person_emp_exp,Moderate,data_distribution
Loan,shift,0.9026666666666666,0.0263333333333334,0.6301525893181115,0.0161903703703706,0.672,High,Significant drift and/or accuracy degradation detected.,Trigger incident workflow; retrain model and review data pipeline.,0.0,System is sensitive to distribution changes (shift caused the highest drift).,person_age,High,data_distribution
Loan,feature_removed,0.9278888888888888,0.0011111111111111,0.0,0.0023374074074076,0.999,Low,Model appears stable under current checks.,No action required; continue monitoring.,0.0,System is sensitive to distribution changes (shift caused the highest drift).,person_age,Low,data_distribution
Bank,noise,0.8994475138121547,-0.0022099447513812,0.0799508657753897,,0.961,Low,Model appears stable under current checks.,No action required; continue monitoring.,0.6562500330926601,System is sensitive to distribution changes (shift caused the highest drift).,,Low,data_distribution
Bank,shift,0.8917127071823204,0.005524861878453,6.796524753547828,,0.497,High,Significant drift and/or accuracy degradation detected.,Trigger incident workflow; retrain model and review data pipeline.,0.6562500330926601,System is sensitive to distribution changes (shift caused the highest drift).,,High,data_distribution
Bank,feature_removed,0.9005524861878453,-0.0033149171270718,0.0,,1.0,Low,Model appears stable under current checks.,No action required; continue monitoring.,0.6562500330926601,System is sensitive to distribution changes (shift caused the highest drift).,,Low,data_distribution
German Credit,noise,0.8,0.0,0.0802038337059176,,0.96,Low,Model appears stable under current checks.,No action required; continue monitoring.,1.0,Model is highly dependent on a specific feature (feature removal caused the largest drop).,,Low,feature_dependency
German Credit,shift,0.78,0.02,9.806163934425497,,0.49,High,Significant drift and/or accuracy degradation detected.,Trigger incident workflow; retrain model and review data pipeline.,1.0,Model is highly dependent on a specific feature (feature removal caused the largest drop).,,High,feature_dependency
German Credit,feature_removed,0.735,0.065,0.0,,0.968,Low,Model appears stable under current checks.,No action required; continue monitoring.,1.0,Model is highly dependent on a specific feature (feature removal caused the largest drop).,,Low,feature_dependency
