dataset,scenario,accuracy,acc_drop,psi,confidence_drop,top_drift_feature
Adult,noise,0.8508547446002661,0.005527689630463795,0.9825978531860778,0.005354283612093336,capital-loss
Adult,shift,0.8430750332685024,0.01330740096222749,0.2448571903582119,0.05927102226172365,hours-per-week
Adult,feature_removed,0.8472719828027434,0.009110451427986499,0.0,0.007606079369873675,age
